MJD,Altitude,Latitude,Longitude,SPS,Alpha
32319.06875,7.94E+03,3.40E+01,3.204218,110.899805,90
32319.06944,8.00E+03,3.36E+01,3.263803,111.009479,90
32319.07014,8.05E+03,3.33E+01,3.317995,111.116956,90
32319.07083,8.11E+03,3.30E+01,3.36698,111.22229,90
32319.07153,8.17E+03,3.26E+01,3.410938,111.325532,90
32319.07222,8.22E+03,3.23E+01,3.450039,111.42673,90
32319.07292,8.28E+03,3.20E+01,3.484447,111.525933,90
32319.07361,8.33E+03,3.17E+01,3.514317,111.623186,90
32319.07431,8.39E+03,3.14E+01,3.5398,111.718534,90
32319.075,8.44E+03,3.10E+01,3.561037,111.81202,90
32319.07569,8.49E+03,3.07E+01,3.578167,111.903685,90
32319.07639,8.55E+03,3.04E+01,3.591321,111.99357,90
32319.07708,8.60E+03,3.01E+01,3.600625,112.081714,90
32319.07778,8.65E+03,2.98E+01,3.606199,112.168153,90
32319.07847,8.70E+03,2.95E+01,3.60816,112.252926,90
32319.07917,8.75E+03,2.92E+01,3.606618,112.336067,90
32319.07986,8.80E+03,2.89E+01,3.601682,112.417611,90
32319.08056,8.85E+03,2.86E+01,3.593454,112.49759,90
32319.08125,8.90E+03,2.83E+01,3.582032,112.576037,90
32319.08194,8.95E+03,2.80E+01,3.567513,112.652983,90
32319.08264,8.99E+03,2.77E+01,3.549986,112.728459,90
32319.08333,9.04E+03,2.74E+01,3.529541,112.802493,90
32319.08403,9.09E+03,2.71E+01,3.506262,112.875114,90
32319.08472,9.13E+03,2.68E+01,3.480232,112.94635,90
32319.08542,9.18E+03,2.65E+01,3.451527,113.016227,90
32319.08611,9.23E+03,2.62E+01,3.420226,113.084771,90
32319.08681,9.27E+03,2.60E+01,3.386401,113.152008,90
32319.0875,9.31E+03,2.57E+01,3.350122,113.217962,90
32319.08819,9.36E+03,2.54E+01,3.311459,113.282656,90
32319.08889,9.40E+03,2.51E+01,3.270476,113.346115,90
32319.08958,9.44E+03,2.48E+01,3.227238,113.408359,90
32319.09028,9.48E+03,2.46E+01,3.181805,113.469411,90
32319.09097,9.53E+03,2.43E+01,3.134239,113.529291,90
32319.09167,9.57E+03,2.40E+01,3.084595,113.588021,90
32319.09236,9.61E+03,2.38E+01,3.03293,113.64562,90
32319.09306,9.65E+03,2.35E+01,2.979298,113.702108,90
32319.09375,9.69E+03,2.32E+01,2.92375,113.757503,90
32319.09444,9.72E+03,2.30E+01,2.866338,113.811823,90
32319.09514,9.76E+03,2.27E+01,2.807109,113.865087,90
32319.09583,9.80E+03,2.24E+01,2.746112,113.917311,90
32319.09653,9.84E+03,2.22E+01,2.683393,113.968513,90
32319.09722,9.87E+03,2.19E+01,2.618995,114.018708,90
32319.09792,9.91E+03,2.16E+01,2.552963,114.067912,90
32319.09861,9.95E+03,2.14E+01,2.485338,114.116142,90
32319.09931,9.98E+03,2.11E+01,2.416161,114.163411,90
32319.1,1.00E+04,2.09E+01,2.345471,114.209734,90
32319.10069,1.01E+04,2.06E+01,2.273307,114.255126,90
32319.10139,1.01E+04,2.04E+01,2.199706,114.2996,90
32319.10208,1.01E+04,2.01E+01,2.124704,114.343169,90
32319.10278,1.02E+04,1.99E+01,2.048337,114.385848,90
32319.10347,1.02E+04,1.96E+01,1.970639,114.427647,90
32319.10417,1.02E+04,1.94E+01,1.891643,114.468581,90
32319.10486,1.02E+04,1.91E+01,1.811382,114.50866,90
32319.10556,1.03E+04,1.89E+01,1.729888,114.547896,90
32319.10625,1.03E+04,1.86E+01,1.64719,114.586301,90
32319.10694,1.03E+04,1.84E+01,1.563319,114.623885,90
32319.10764,1.04E+04,1.81E+01,1.478305,114.66066,90
32319.10833,1.04E+04,1.79E+01,1.392175,114.696635,90
32319.10903,1.04E+04,1.76E+01,1.304958,114.731822,90
32319.10972,1.05E+04,1.74E+01,1.21668,114.766229,90
32319.11042,1.05E+04,1.71E+01,1.127369,114.799867,90
32319.11111,1.05E+04,1.69E+01,1.037049,114.832745,90
32319.11181,1.05E+04,1.67E+01,0.945745,114.864871,90
32319.1125,1.06E+04,1.64E+01,0.853484,114.896255,90
32319.11319,1.06E+04,1.62E+01,0.760287,114.926905,90
32319.11389,1.06E+04,1.60E+01,0.66618,114.95683,90
32319.11458,1.06E+04,1.57E+01,0.571184,114.986037,90
32319.11528,1.07E+04,1.55E+01,0.475322,115.014535,90
32319.11597,1.07E+04,1.52E+01,0.378616,115.042332,90
32319.11667,1.07E+04,1.50E+01,0.281088,115.069434,90
32319.11736,1.07E+04,1.48E+01,0.182758,115.095849,90
